Ano;ICMS_bruto_ES;Cota_parte_declarada_ou_fallback;FECOP_ES;Receita_referencia_ES;Arrecadacao_nacional;Razao_atualizacao;Receita_referencia_atualizada;Receita_municipios_atualizada
2019;11359781521.95;2839473411.96;54469347.97;8574777457.960001;596775907322.9401;1.7486554555401133;14994331381.90414;7191903682.487987
2020;11871457440.3;2966318241.27;59235098.05;8964374297.079998;610995666339.6599;1.7079588343512653;15310782275.129196;7330947188.816489
2021;15333611913.86;3832577371.99;67809300.66;11568843842.53;761326522902.43;1.3707068054016818;15857492985.585215;7404247401.3827715
2022;16575624991.09;4143826876.73;76417553.12;12508215667.480001;814895696607.9299;1.2806000208603938;16018021244.701195;7599981188.553844
2023;17656415017.17;4412852207.82;81912269.07;13325475078.419998;841552137456.5599;1.2400365938456517;16524076727.619053;8116313474.651064
2024;20804357747.13;5198679321.32;93811827.41;15699490253.220001;967956708999.8301;1.0781013617369777;16925641820.572891;8295215792.4904
2025;22519755234.49;5627628497.14;105362495.84;16997489233.190002;1043555446075.1602;1.0;16997489233.190002;8396933884.39
